Iteration,Algorithm,Dataset,ThresholdSim,Training%,NumAddedEdges,NumRemovedEdges,Accuracy
4,SAGEConv,Pubmed,0.7,0.01,32250,0,0.775
3,SAGEConv,Pubmed,0.7,0.01,32250,0,0.773
2,SAGEConv,Pubmed,0.7,0.01,32250,0,0.773
1,SAGEConv,Pubmed,0.7,0.01,32250,0,0.775
0,SAGEConv,Pubmed,0.7,0.01,32250,0,0.775
4,SAGEConv,Pubmed,0.7,0.015,32250,0,0.785
3,SAGEConv,Pubmed,0.7,0.015,32250,0,0.788
2,SAGEConv,Pubmed,0.7,0.015,32250,0,0.786
1,SAGEConv,Pubmed,0.7,0.015,32250,0,0.785
0,SAGEConv,Pubmed,0.7,0.015,32250,0,0.785
4,SAGEConv,Pubmed,0.7,0.02,32250,0,0.791
3,SAGEConv,Pubmed,0.7,0.02,32250,0,0.785
2,SAGEConv,Pubmed,0.7,0.02,32250,0,0.79
1,SAGEConv,Pubmed,0.7,0.02,32250,0,0.787
0,SAGEConv,Pubmed,0.7,0.02,32250,0,0.788
4,SAGEConv,Pubmed,0.7,0.025,32250,0,0.794
3,SAGEConv,Pubmed,0.7,0.025,32250,0,0.793
2,SAGEConv,Pubmed,0.7,0.025,32250,0,0.795
1,SAGEConv,Pubmed,0.7,0.025,32250,0,0.794
0,SAGEConv,Pubmed,0.7,0.025,32250,0,0.794
4,SAGEConv,Pubmed,0.7,0.03,32250,0,0.787
3,SAGEConv,Pubmed,0.7,0.03,32250,0,0.787
2,SAGEConv,Pubmed,0.7,0.03,32250,0,0.786
1,SAGEConv,Pubmed,0.7,0.03,32250,0,0.787
0,SAGEConv,Pubmed,0.7,0.03,32250,0,0.785
4,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,0,0.722
3,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,0,0.724
2,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,0,0.727
1,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,0,0.724
0,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,0,0.729
4,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,0,0.778
3,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,0,0.781
2,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,0,0.78
1,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,0,0.778
0,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,0,0.779
4,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,0,0.777
3,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,0,0.779
2,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,0,0.78
1,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,0,0.78
0,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,0,0.778
4,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,0,0.792
3,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,0,0.793
2,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,0,0.792
1,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,0,0.795
0,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,0,0.791
4,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,0,0.776
3,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,0,0.776
2,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,0,0.78
1,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,0,0.773
0,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,0,0.778
4,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,0,0.8
3,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,0,0.801
2,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,0,0.803
1,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,0,0.801
0,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,0,0.8
4,SAGEConv,Pubmed,0.8999999999999999,0.005,408,0,0.693
3,SAGEConv,Pubmed,0.8999999999999999,0.005,408,0,0.698
2,SAGEConv,Pubmed,0.8999999999999999,0.005,408,0,0.703
1,SAGEConv,Pubmed,0.8999999999999999,0.005,408,0,0.694
0,SAGEConv,Pubmed,0.8999999999999999,0.005,408,0,0.697
4,SAGEConv,Pubmed,0.8999999999999999,0.01,408,0,0.772
3,SAGEConv,Pubmed,0.8999999999999999,0.01,408,0,0.773
2,SAGEConv,Pubmed,0.8999999999999999,0.01,408,0,0.777
1,SAGEConv,Pubmed,0.8999999999999999,0.01,408,0,0.779
0,SAGEConv,Pubmed,0.8999999999999999,0.01,408,0,0.778
4,SAGEConv,Pubmed,0.8999999999999999,0.015,408,0,0.778
